Age,Annual_Income,CIBIL_Score,Employment_Type,Work_Experience_Years,Loan_Amount_Requested,Loan_Purpose,Existing_Loans,Credit_History_Years,Monthly_Debt,Dependents,Education_Level,Property_Ownership,City_Tier,Monthly_Income,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Age_Income_Product,Experience_to_Age_Ratio,Loan_Approved
49,1144826,762,Business,7,240108,Education,2,19,6952,1,High School,Rented,2,95402.16666666667,0.07287046241088165,0.2097331821604331,56.096474,0.14285714285714285,1
64,1144826,762,Salaried,9,240108,Home,0,6,4617,1,Bachelor,Owned,1,95402.16666666667,0.04839512729445348,0.2097331821604331,73.268864,0.140625,1
36,1144826,762,Salaried,27,240108,Personal,1,20,35957,0,High School,Owned,1,95402.16666666667,0.3768991969085258,0.2097331821604331,41.213736,0.75,1
64,1144826,762,Salaried,35,240108,Education,0,16,95900,1,High School,Rented,2,95402.16666666667,1.0,0.2097331821604331,73.268864,0.546875,1
30,1144826,762,Salaried,9,240108,Home,1,2,64870,3,High School,Owned,3,95402.16666666667,0.6799635927206404,0.2097331821604331,34.34478,0.3,1
50,1144826,762,Salaried,13,240108,Home,0,6,79021,1,Bachelor,Rented,1,95402.16666666667,0.8282935572742058,0.2097331821604331,57.2413,0.26,1
45,1144826,762,Self-Employed,37,240108,Home,2,12,56781,3,Master,Rented,2,95402.16666666667,0.5951751619896822,0.2097331821604331,51.51717,0.8222222222222222,0
59,1144826,762,Salaried,36,240108,Home,1,8,73957,1,Master,Owned,3,95402.16666666667,0.775213001801147,0.2097331821604331,67.544734,0.6101694915254238,1
40,1144826,762,Salaried,4,240108,Education,2,8,6300,4,Bachelor,Mortgaged,1,95402.16666666667,0.06603623607430299,0.2097331821604331,45.79304,0.1,1
25,1144826,762,Salaried,5,240108,Home,1,22,98637,2,Bachelor,Rented,2,95402.16666666667,1.0,0.2097331821604331,28.62065,0.2,1
21,1144826,762,Salaried,29,240108,Business,1,4,64199,1,Bachelor,Mortgaged,2,95402.16666666667,0.6729302094816155,0.2097331821604331,24.041346,1.380952380952381,1
50,1144826,762,Self-Employed,18,240108,Home,0,3,58672,4,High School,Mortgaged,1,95402.16666666667,0.6149965147542071,0.2097331821604331,57.2413,0.36,1
23,1144826,762,Business,13,240108,Personal,1,8,80615,2,Bachelor,Mortgaged,3,95402.16666666667,0.8450017731952278,0.2097331821604331,26.330998,0.5652173913043478,1
34,1144826,762,Salaried,10,240108,Vehicle,0,5,89767,2,Bachelor,Owned,1,95402.16666666667,0.9409325085209455,0.2097331821604331,38.924084,0.29411764705882354,1
50,1144826,762,Self-Employed,4,240108,Home,0,9,72656,1,Master,Owned,3,95402.16666666667,0.7615759949546917,0.2097331821604331,57.2413,0.08,1
24,1144826,762,Salaried,30,240108,Personal,0,17,74026,0,Master,Rented,2,95402.16666666667,0.7759362558152941,0.2097331821604331,27.475824,1.25,1
38,1144826,762,Salaried,31,240108,Home,2,2,93798,4,Master,Rented,2,95402.16666666667,0.9831852176662654,0.2097331821604331,43.503388,0.8157894736842105,0
57,1144826,762,Salaried,23,240108,Home,2,22,32086,1,Bachelor,Rented,3,95402.16666666667,0.3363235985206485,0.2097331821604331,65.255082,0.40350877192982454,1
45,1144826,762,Salaried,9,240108,Education,2,19,23247,3,Master,Mortgaged,3,95402.16666666667,0.24367371111417804,0.2097331821604331,51.51717,0.2,1
21,1144826,762,Salaried,12,240108,Home,3,6,83980,3,Bachelor,Owned,3,95402.16666666667,0.8802735088126928,0.2097331821604331,24.041346,0.5714285714285714,1
35,1144826,762,Salaried,12,240108,Home,1,11,12988,0,Bachelor,Rented,2,95402.16666666667,0.13613946573540434,0.2097331821604331,40.06891,0.34285714285714286,1
29,1144826,762,Salaried,35,240108,Vehicle,2,4,94382,0,Bachelor,Rented,1,95402.16666666667,0.9893066719309309,0.2097331821604331,33.199954,1.206896551724138,0
35,1144826,762,Salaried,21,240108,Education,0,16,76178,2,Bachelor,Mortgaged,2,95402.16666666667,0.7984933955028973,0.2097331821604331,40.06891,0.6,1
44,1144826,762,Business,8,240108,Home,0,18,94850,0,PhD,Owned,3,95402.16666666667,0.9942122208964506,0.2097331821604331,50.372344,0.18181818181818182,1
24,1144826,762,Salaried,18,240108,Personal,1,24,23402,1,High School,Rented,3,95402.16666666667,0.24529841216045056,0.2097331821604331,27.475824,0.75,1
32,1144826,762,Salaried,6,240108,Home,0,3,50807,1,Master,Mortgaged,2,95402.16666666667,0.5325560390836686,0.2097331821604331,36.634432,0.1875,1
57,1144826,762,Salaried,14,240108,Home,2,11,14791,0,Master,Mortgaged,2,95402.16666666667,0.1550384075833358,0.2097331821604331,65.255082,0.24561403508771928,1
57,1144826,762,Business,16,240108,Home,0,20,12967,2,Bachelor,Rented,2,95402.16666666667,0.13591934494848998,0.2097331821604331,65.255082,0.2807017543859649,1
63,1144826,762,Salaried,13,240108,Business,2,14,57215,1,Master,Owned,2,95402.16666666667,0.5997243249192453,0.2097331821604331,72.124038,0.20634920634920634,1
26,1144826,762,Salaried,1,240108,Personal,2,1,12627,1,High School,Rented,1,95402.16666666667,0.13235548458892443,0.2097331821604331,29.765476,0.038461538461538464,1
59,1144826,762,Self-Employed,13,240108,Business,1,14,85979,0,Bachelor,Rented,3,95402.16666666667,0.9012269113384915,0.2097331821604331,67.544734,0.22033898305084745,0
44,1144826,762,Business,3,240108,Home,0,10,55105,3,Bachelor,Mortgaged,2,95402.16666666667,0.5776074268054708,0.2097331821604331,50.372344,0.06818181818181818,1
31,1144826,762,Self-Employed,2,240108,Business,1,23,50202,0,High School,Rented,1,95402.16666666667,0.5262144640320887,0.2097331821604331,35.489606,0.06451612903225806,1
33,1144826,762,Salaried,2,240108,Home,0,0,98095,0,Bachelor,Mortgaged,3,95402.16666666667,1.0,0.2097331821604331,37.779258,0.06060606060606061,0
54,1144826,762,Self-Employed,10,240108,Education,0,13,38804,4,Bachelor,Owned,3,95402.16666666667,0.40674128644877033,0.2097331821604331,61.820604,0.18518518518518517,1
45,1144826,762,Self-Employed,4,240108,Personal,2,3,46962,0,Bachelor,Rented,1,95402.16666666667,0.49225297119387573,0.2097331821604331,51.51717,0.08888888888888889,1
27,1144826,762,Business,28,240108,Home,0,5,92294,0,Bachelor,Owned,1,95402.16666666667,0.9674203765463047,0.2097331821604331,30.910302,1.037037037037037,1
24,1144826,762,Business,27,240108,Business,0,7,91616,3,Master,Mortgaged,1,95402.16666666667,0.9603136197116418,0.2097331821604331,27.475824,1.125,1
28,1144826,762,Salaried,22,240108,Home,0,19,39724,2,Bachelor,Rented,2,95402.16666666667,0.4163846733040654,0.2097331821604331,32.055128,0.7857142857142857,1
40,1144826,762,Self-Employed,29,240108,Vehicle,2,1,93997,2,Bachelor,Owned,2,95402.16666666667,0.9852711241708346,0.2097331821604331,45.79304,0.725,0
49,1144826,762,Salaried,22,240108,Business,1,3,35616,1,PhD,Owned,2,95402.16666666667,0.37332485460672626,0.2097331821604331,56.096474,0.4489795918367347,1
30,1144826,762,Salaried,21,240108,Personal,2,16,81699,0,Master,Rented,2,95402.16666666667,0.8563641985769016,0.2097331821604331,34.34478,0.7,0
63,1144826,762,Salaried,11,240108,Vehicle,0,23,66576,1,Bachelor,Rented,2,95402.16666666667,0.6978457861718723,0.2097331821604331,72.124038,0.1746031746031746,0
54,1144826,762,Salaried,26,240108,Home,0,8,64901,2,Bachelor,Owned,1,95402.16666666667,0.680288532929895,0.2097331821604331,61.820604,0.48148148148148145,1
46,1144826,762,Salaried,39,240108,Personal,1,18,45683,1,Master,Rented,2,95402.16666666667,0.4788465670765688,0.2097331821604331,52.661996,0.8478260869565217,1
61,1144826,762,Business,14,240108,Business,1,7,15408,2,High School,Rented,3,95402.16666666667,0.1615057659417239,0.2097331821604331,69.834386,0.22950819672131148,1
23,1144826,762,Salaried,22,240108,Vehicle,0,8,74812,0,High School,Owned,2,95402.16666666667,0.784175062411231,0.2097331821604331,26.330998,0.9565217391304348,1
26,1144826,762,Salaried,18,240108,Home,2,12,77113,2,Bachelor,Owned,2,95402.16666666667,0.8082940114917027,0.2097331821604331,29.765476,0.6923076923076923,1
25,1144826,762,Salaried,10,240108,Education,2,7,84975,2,Master,Rented,3,95402.16666666667,0.8907030413355391,0.2097331821604331,28.62065,0.4,1
25,1144826,762,Salaried,37,240108,Home,0,13,11851,4,Master,Rented,3,95402.16666666667,0.12422149741532774,0.2097331821604331,28.62065,1.48,1
43,1144826,762,Business,39,240108,Business,0,17,59147,3,High School,Owned,1,95402.16666666667,0.619975437315365,0.2097331821604331,49.227518,0.9069767441860465,1
29,1144826,762,Self-Employed,2,240108,Home,2,17,84669,2,High School,Mortgaged,3,95402.16666666667,0.8874955670119301,0.2097331821604331,33.199954,0.06896551724137931,0
55,1144826,762,Salaried,15,240108,Home,2,9,95727,2,PhD,Rented,3,95402.16666666667,1.0,0.2097331821604331,62.96543,0.2727272727272727,0
40,1144826,762,Business,31,240108,Home,0,19,1029,0,Bachelor,Mortgaged,3,95402.16666666667,0.010785918558802822,0.2097331821604331,45.79304,0.775,1
62,1144826,762,Salaried,37,240108,Personal,0,0,7512,3,Bachelor,Rented,1,95402.16666666667,0.07874035006193081,0.2097331821604331,70.979212,0.5967741935483871,1
55,1144826,762,Business,8,240108,Education,1,11,45834,2,Bachelor,Rented,2,95402.16666666667,0.4804293403539053,0.2097331821604331,62.96543,0.14545454545454545,1
38,1144826,762,Salaried,37,240108,Personal,1,2,99744,1,PhD,Owned,2,95402.16666666667,1.0,0.2097331821604331,43.503388,0.9736842105263158,1
37,1144826,762,Self-Employed,4,240108,Education,1,19,12820,3,High School,Rented,1,95402.16666666667,0.1343784994400896,0.2097331821604331,42.358562,0.10810810810810811,1
44,1144826,762,Salaried,0,240108,Personal,2,11,43007,2,Bachelor,Owned,2,95402.16666666667,0.4507968896583411,0.2097331821604331,50.372344,0.0,1
23,1144826,762,Business,34,240108,Home,0,17,57239,2,High School,Owned,3,95402.16666666667,0.5999758915328617,0.2097331821604331,26.330998,1.4782608695652173,1
52,1144826,762,Salaried,34,240108,Personal,1,11,53302,1,Bachelor,Owned,1,95402.16666666667,0.5587084849575393,0.2097331821604331,59.530952,0.6538461538461539,1
55,1144826,762,Salaried,11,240108,Home,1,6,43184,3,Bachelor,Rented,3,95402.16666666667,0.45265219343376195,0.2097331821604331,62.96543,0.2,1
58,1144826,762,Business,35,240108,Personal,2,2,1771,2,Bachelor,Rented,2,95402.16666666667,0.018563519696442952,0.2097331821604331,66.399908,0.603448275862069,1
33,1144826,762,Salaried,20,240108,Personal,2,6,39795,1,Bachelor,Owned,2,95402.16666666667,0.41712889120268054,0.2097331821604331,37.779258,0.6060606060606061,1
45,1144826,762,Self-Employed,7,240108,Home,2,22,72147,2,Bachelor,Rented,1,95402.16666666667,0.7562406863575775,0.2097331821604331,51.51717,0.15555555555555556,0
29,1144826,762,Self-Employed,26,240108,Personal,2,12,77320,0,Master,Owned,3,95402.16666666667,0.810463773534144,0.2097331821604331,33.199954,0.896551724137931,1
24,1144826,762,Salaried,8,240108,Education,1,10,26462,3,Master,Owned,2,95402.16666666667,0.2773731553965406,0.2097331821604331,27.475824,0.3333333333333333,1
34,1144826,762,Salaried,27,240108,Personal,1,24,41947,2,Bachelor,Mortgaged,2,95402.16666666667,0.43968603089028374,0.2097331821604331,38.924084,0.7941176470588235,1
57,1144826,762,Business,29,240108,Education,0,19,21621,4,Master,Rented,2,95402.16666666667,0.22663007304166746,0.2097331821604331,65.255082,0.5087719298245614,1
54,1144826,762,Business,13,240108,Personal,1,19,5925,1,Bachelor,Rented,2,95402.16666666667,0.06210550773654686,0.2097331821604331,61.820604,0.24074074074074073,1
31,1144826,762,Salaried,22,240108,Business,2,16,3460,1,Master,Owned,1,95402.16666666667,0.036267520129696564,0.2097331821604331,35.489606,0.7096774193548387,1
61,1144826,762,Salaried,28,240108,Personal,2,14,89700,3,Bachelor,Owned,3,95402.16666666667,0.9402302183912664,0.2097331821604331,69.834386,0.45901639344262296,1
23,1144826,762,Salaried,25,240108,Home,1,5,98216,1,Bachelor,Owned,1,95402.16666666667,1.0,0.2097331821604331,26.330998,1.0869565217391304,1
48,1144826,762,Salaried,21,240108,Business,0,5,54689,1,High School,Owned,1,95402.16666666667,0.57324693883612,0.2097331821604331,54.951648,0.4375,1
49,1144826,762,Salaried,14,240108,Home,1,6,28873,3,PhD,Rented,3,95402.16666666667,0.302645118122754,0.2097331821604331,56.096474,0.2857142857142857,1
29,1144826,762,Business,8,240108,Home,0,8,37727,1,Bachelor,Rented,1,95402.16666666667,0.39545223466273477,0.2097331821604331,33.199954,0.27586206896551724,1
23,1144826,762,Self-Employed,25,240108,Personal,0,8,93118,1,Master,Owned,1,95402.16666666667,0.9760574969471343,0.2097331821604331,26.330998,1.0869565217391304,1
45,1144826,762,Self-Employed,16,240108,Business,0,20,58512,1,Bachelor,Rented,1,95402.16666666667,0.6133194039967645,0.2097331821604331,51.51717,0.35555555555555557,1
54,1144826,762,Salaried,8,240108,Home,0,17,69812,2,High School,Owned,3,95402.16666666667,0.7317653512411493,0.2097331821604331,61.820604,0.14814814814814814,1
32,1144826,762,Salaried,2,240108,Home,3,0,10275,0,Bachelor,Rented,1,95402.16666666667,0.10770195645451798,0.2097331821604331,36.634432,0.0625,1
62,1144826,762,Self-Employed,15,240108,Home,2,17,87269,4,Master,Owned,1,95402.16666666667,0.9147486168203727,0.2097331821604331,70.979212,0.24193548387096775,1
29,1144826,762,Self-Employed,12,240108,Home,0,17,66770,1,High School,Rented,2,95402.16666666667,0.6998792829652716,0.2097331821604331,33.199954,0.41379310344827586,1
35,1144826,762,Self-Employed,25,240108,Business,2,11,75535,2,High School,Rented,3,95402.16666666667,0.7917535066464249,0.2097331821604331,40.06891,0.7142857142857143,0
60,1144826,762,Salaried,16,240108,Vehicle,0,0,25034,2,High School,Rented,1,95402.16666666667,0.26240494188636526,0.2097331821604331,68.68956,0.26666666666666666,1
45,1144826,762,Salaried,31,240108,Home,1,23,75934,2,High School,Rented,2,95402.16666666667,0.7959358015977973,0.2097331821604331,51.51717,0.6888888888888889,1
25,1144826,762,Salaried,23,240108,Home,2,18,22184,1,Bachelor,Owned,2,95402.16666666667,0.23253140651941867,0.2097331821604331,28.62065,0.92,1
31,1144826,762,Salaried,35,240108,Business,1,13,66409,0,Master,Mortgaged,3,95402.16666666667,0.6960953018187916,0.2097331821604331,35.489606,1.1290322580645162,1
54,1144826,762,Self-Employed,21,240108,Home,0,13,35886,2,Bachelor,Mortgaged,2,95402.16666666667,0.3761549790099107,0.2097331821604331,61.820604,0.3888888888888889,1
44,1144826,762,Salaried,8,240108,Home,2,15,17943,4,Master,Rented,2,95402.16666666667,0.18807748950495534,0.2097331821604331,50.372344,0.18181818181818182,1
35,1144826,762,Business,21,240108,Home,2,23,41069,1,Bachelor,Mortgaged,3,95402.16666666667,0.43048288560881737,0.2097331821604331,40.06891,0.6,1
58,1144826,762,Salaried,19,240108,Home,0,5,84943,4,Master,Mortgaged,2,95402.16666666667,0.8903676191840506,0.2097331821604331,66.399908,0.3275862068965517,1
28,1144826,762,Salaried,2,240108,Home,0,16,32348,1,High School,Rented,3,95402.16666666667,0.33906986738596084,0.2097331821604331,32.055128,0.07142857142857142,1
25,1144826,762,Self-Employed,35,240108,Home,2,12,70118,0,Bachelor,Owned,2,95402.16666666667,0.7349728255647583,0.2097331821604331,28.62065,1.4,1
46,1144826,762,Salaried,32,240108,Education,3,22,28888,0,Bachelor,Owned,3,95402.16666666667,0.30280234725626426,0.2097331821604331,52.661996,0.6956521739130435,1
38,1144826,762,Self-Employed,17,240108,Education,1,18,87768,3,High School,Rented,1,95402.16666666667,0.9199791059951468,0.2097331821604331,43.503388,0.4473684210526316,1
26,1144826,762,Self-Employed,35,240108,Personal,0,24,5676,2,Bachelor,Rented,3,95402.16666666667,0.05949550412027679,0.2097331821604331,29.765476,1.3461538461538463,1
57,1144826,762,Business,9,240108,Business,2,24,59081,1,Bachelor,Rented,1,95402.16666666667,0.6192836291279199,0.2097331821604331,65.255082,0.15789473684210525,0
33,1144826,762,Salaried,35,240108,Business,0,19,32512,2,Master,Rented,2,95402.16666666667,0.3407889059123395,0.2097331821604331,37.779258,1.0606060606060606,1
48,1144826,762,Salaried,20,240108,Home,0,1,87322,2,Master,Owned,1,95402.16666666667,0.9153041597587755,0.2097331821604331,54.951648,0.4166666666666667,1
25,1144826,762,Salaried,24,240108,Personal,0,9,95765,3,Master,Rented,2,95402.16666666667,1.0,0.2097331821604331,28.62065,0.96,1
33,1144826,762,Self-Employed,39,240108,Business,1,8,72731,4,Bachelor,Owned,1,95402.16666666667,0.762362140622243,0.2097331821604331,37.779258,1.1818181818181819,1
37,1144826,762,Salaried,8,240108,Business,0,20,80637,2,High School,Mortgaged,1,95402.16666666667,0.8452323759243763,0.2097331821604331,42.358562,0.21621621621621623,1
60,1144826,762,Salaried,26,240108,Home,0,11,70575,4,Bachelor,Owned,1,95402.16666666667,0.7397630731657038,0.2097331821604331,68.68956,0.43333333333333335,1
52,1144826,762,Salaried,14,240108,Personal,1,7,3586,1,Bachelor,Rented,1,95402.16666666667,0.037588244851182624,0.2097331821604331,59.530952,0.2692307692307692,1
49,1144826,762,Salaried,31,240108,Personal,0,8,30117,3,Bachelor,Rented,1,95402.16666666667,0.31568465426187037,0.2097331821604331,56.096474,0.6326530612244898,1
23,1144826,762,Self-Employed,38,240108,Education,1,10,2859,3,Bachelor,Mortgaged,2,95402.16666666667,0.02996787284705274,0.2097331821604331,26.330998,1.6521739130434783,1
60,1144826,762,Salaried,15,240108,Home,0,0,88568,0,Bachelor,Rented,3,95402.16666666667,0.9283646597823599,0.2097331821604331,68.68956,0.25,0
54,1144826,762,Salaried,27,240108,Home,0,10,34045,3,Master,Rented,3,95402.16666666667,0.35685772335708654,0.2097331821604331,61.820604,0.5,1
60,1144826,762,Salaried,5,240108,Education,2,18,21380,1,Bachelor,Owned,1,95402.16666666667,0.22410392496326953,0.2097331821604331,68.68956,0.08333333333333333,1
47,1144826,762,Self-Employed,5,240108,Personal,1,22,11503,1,Bachelor,Mortgaged,3,95402.16666666667,0.12057378151789006,0.2097331821604331,53.806822,0.10638297872340426,1
33,1144826,762,Business,37,240108,Home,2,1,53488,2,High School,Rented,3,95402.16666666667,0.5606581262130664,0.2097331821604331,37.779258,1.121212121212121,0
53,1144826,762,Salaried,1,240108,Vehicle,1,13,44166,0,Bachelor,Mortgaged,2,95402.16666666667,0.46294546070756604,0.2097331821604331,60.675778,0.018867924528301886,1
26,1144826,762,Salaried,39,240108,Home,2,3,42461,0,Master,Owned,3,95402.16666666667,0.4450737491985681,0.2097331821604331,29.765476,1.5,1
44,1144826,762,Salaried,6,240108,Home,2,19,85464,1,Bachelor,Rented,2,95402.16666666667,0.8958287110879731,0.2097331821604331,50.372344,0.13636363636363635,0
39,1144826,762,Salaried,26,240108,Business,3,22,78190,2,Bachelor,Rented,2,95402.16666666667,0.8195830632777382,0.2097331821604331,44.648214,0.6666666666666666,0
36,1144826,762,Salaried,27,240108,Home,1,14,84052,4,PhD,Rented,2,95402.16666666667,0.881028208653542,0.2097331821604331,41.213736,0.75,1
60,1144826,762,Salaried,15,240108,Home,1,1,31900,1,High School,Owned,3,95402.16666666667,0.3343739572651215,0.2097331821604331,68.68956,0.25,1
48,1144826,762,Business,8,240108,Education,0,23,29008,2,High School,Owned,1,95402.16666666667,0.30406018032434623,0.2097331821604331,54.951648,0.16666666666666666,1
53,1144826,762,Business,14,240108,Home,2,23,39847,0,Bachelor,Rented,1,95402.16666666667,0.4176739521988494,0.2097331821604331,60.675778,0.2641509433962264,1
61,1144826,762,Salaried,33,240108,Home,0,15,67604,3,Bachelor,Rented,2,95402.16666666667,0.7086212227884412,0.2097331821604331,69.834386,0.5409836065573771,1
33,1144826,762,Salaried,19,240108,Home,2,21,32353,2,Bachelor,Rented,2,95402.16666666667,0.3391222770971309,0.2097331821604331,37.779258,0.5757575757575758,1
63,1144826,762,Salaried,13,240108,Home,0,3,85684,1,Bachelor,Owned,1,95402.16666666667,0.8981347383794568,0.2097331821604331,72.124038,0.20634920634920634,1
45,1144826,762,Salaried,10,240108,Business,1,1,45711,3,High School,Rented,3,95402.16666666667,0.47914006145912125,0.2097331821604331,51.51717,0.2222222222222222,1
62,1144826,762,Salaried,29,240108,Vehicle,0,14,45547,0,Bachelor,Rented,1,95402.16666666667,0.4774210229327426,0.2097331821604331,70.979212,0.46774193548387094,1
56,1144826,762,Self-Employed,2,240108,Home,1,18,33928,2,Bachelor,Rented,3,95402.16666666667,0.35563133611570663,0.2097331821604331,64.110256,0.03571428571428571,1
47,1144826,762,Salaried,1,240108,Home,0,18,95467,0,High School,Owned,2,95402.16666666667,1.0,0.2097331821604331,53.806822,0.02127659574468085,1
58,1144826,762,Self-Employed,13,240108,Home,1,15,64514,3,Master,Rented,2,95402.16666666667,0.6762320212853307,0.2097331821604331,66.399908,0.22413793103448276,0
27,1144826,762,Self-Employed,28,240108,Personal,1,11,81942,0,Master,Owned,3,95402.16666666667,0.8589113105397675,0.2097331821604331,30.910302,1.037037037037037,1
25,1144826,762,Business,4,240108,Business,2,2,44069,0,Bachelor,Owned,3,95402.16666666667,0.4619287123108664,0.2097331821604331,28.62065,0.16,1
63,1144826,762,Self-Employed,5,240108,Business,0,19,68769,1,Bachelor,Owned,2,95402.16666666667,0.7208326854910703,0.2097331821604331,72.124038,0.07936507936507936,1
51,1144826,762,Self-Employed,7,240108,Home,1,14,86237,0,Master,Owned,2,95402.16666666667,0.9039312524348678,0.2097331821604331,58.386126,0.13725490196078433,1
43,1144826,762,Salaried,38,240108,Home,0,6,56038,2,Master,Mortgaged,2,95402.16666666667,0.5873870789098081,0.2097331821604331,49.227518,0.8837209302325582,1
62,1144826,762,Self-Employed,38,240108,Home,2,8,26643,1,High School,Rented,1,95402.16666666667,0.27927038694089756,0.2097331821604331,70.979212,0.6129032258064516,1
30,1144826,762,Salaried,28,240108,Business,1,14,73261,0,Bachelor,Rented,2,95402.16666666667,0.7679175700062717,0.2097331821604331,34.34478,0.9333333333333333,1
52,1144826,762,Self-Employed,38,240108,Personal,0,19,72805,3,High School,Rented,2,95402.16666666667,0.7631378043475602,0.2097331821604331,59.530952,0.7307692307692307,1
63,1144826,762,Salaried,26,240108,Personal,1,12,79670,1,PhD,Rented,3,95402.16666666667,0.8350963377840824,0.2097331821604331,72.124038,0.4126984126984127,1
50,1144826,762,Salaried,15,240108,Vehicle,1,6,72584,1,Bachelor,Mortgaged,3,95402.16666666667,0.7608212951138426,0.2097331821604331,57.2413,0.3,1
59,1144826,762,Salaried,26,240108,Vehicle,1,21,35896,2,High School,Owned,1,95402.16666666667,0.3762597984322508,0.2097331821604331,67.544734,0.4406779661016949,1
51,1144826,762,Salaried,38,240108,Personal,3,15,63311,1,Bachelor,Owned,2,95402.16666666667,0.663622244777809,0.2097331821604331,58.386126,0.7450980392156863,0
38,1144826,762,Salaried,39,240108,Home,0,9,10156,0,PhD,Mortgaged,1,95402.16666666667,0.10645460532867003,0.2097331821604331,43.503388,1.0263157894736843,1
56,1144826,762,Business,0,240108,Home,0,24,2725,2,High School,Mortgaged,2,95402.16666666667,0.028563292587694546,0.2097331821604331,64.110256,0.0,1
22,1144826,762,Salaried,32,240108,Home,1,23,70795,0,Bachelor,Rented,3,95402.16666666667,0.7420691004571873,0.2097331821604331,25.186172,1.4545454545454546,1
34,1144826,762,Self-Employed,38,240108,Education,2,1,97753,2,Bachelor,Rented,2,95402.16666666667,1.0,0.2097331821604331,38.924084,1.1176470588235294,0
33,1144826,762,Salaried,26,240108,Personal,1,18,43124,3,Master,Owned,2,95402.16666666667,0.452023276899721,0.2097331821604331,37.779258,0.7878787878787878,1
49,1144826,762,Salaried,16,240108,Personal,0,5,21641,1,High School,Rented,2,95402.16666666667,0.22683971188634777,0.2097331821604331,56.096474,0.32653061224489793,1
32,1144826,762,Salaried,14,240108,Home,1,20,49103,3,Master,Rented,2,95402.16666666667,0.5146948095169047,0.2097331821604331,36.634432,0.4375,1
59,1144826,762,Salaried,21,240108,Business,1,17,20800,0,Master,Owned,2,95402.16666666667,0.21802439846754004,0.2097331821604331,67.544734,0.3559322033898305,1
22,1144826,762,Salaried,18,240108,Personal,0,1,18699,0,Bachelor,Rented,2,95402.16666666667,0.19600183783387168,0.2097331821604331,25.186172,0.8181818181818182,1
52,1144826,762,Salaried,27,240108,Home,2,20,74163,2,Master,Owned,1,95402.16666666667,0.7773722819013544,0.2097331821604331,59.530952,0.5192307692307693,1
33,1144826,762,Salaried,22,240108,Education,0,20,6909,0,Bachelor,Mortgaged,2,95402.16666666667,0.07241973889481895,0.2097331821604331,37.779258,0.6666666666666666,1
47,1144826,762,Business,35,240108,Vehicle,0,0,66610,0,Bachelor,Mortgaged,3,95402.16666666667,0.6982021722078289,0.2097331821604331,53.806822,0.7446808510638298,1
61,1144826,762,Salaried,38,240108,Personal,2,14,17365,1,Bachelor,Rented,1,95402.16666666667,0.18201892689369387,0.2097331821604331,69.834386,0.6229508196721312,1
37,1144826,762,Self-Employed,19,240108,Home,1,9,10559,0,Master,Rented,2,95402.16666666667,0.11067882804897862,0.2097331821604331,42.358562,0.5135135135135135,1
60,1144826,762,Business,8,240108,Home,0,2,65208,1,Bachelor,Owned,2,95402.16666666667,0.683506489195738,0.2097331821604331,68.68956,0.13333333333333333,1
51,1144826,762,Self-Employed,22,240108,Home,0,24,5724,2,Bachelor,Owned,3,95402.16666666667,0.05999863734750958,0.2097331821604331,58.386126,0.43137254901960786,1
54,1144826,762,Business,6,240108,Business,2,9,93714,0,High School,Owned,1,95402.16666666667,0.982304734518608,0.2097331821604331,61.820604,0.1111111111111111,0
44,1144826,762,Salaried,30,240108,Education,0,2,65181,3,Bachelor,Rented,2,95402.16666666667,0.6832234767554196,0.2097331821604331,50.372344,0.6818181818181818,1
55,1144826,762,Self-Employed,10,240108,Personal,3,21,58075,0,Master,Mortgaged,1,95402.16666666667,0.6087387952404995,0.2097331821604331,62.96543,0.18181818181818182,0
26,1144826,762,Salaried,39,240108,Business,2,5,95956,0,Master,Owned,3,95402.16666666667,1.0,0.2097331821604331,29.765476,1.5,1
39,1144826,762,Salaried,16,240108,Vehicle,0,1,17745,3,Master,Mortgaged,1,95402.16666666667,0.1860020649426201,0.2097331821604331,44.648214,0.41025641025641024,1
50,1144826,762,Self-Employed,35,240108,Personal,2,22,17128,2,Bachelor,Rented,3,95402.16666666667,0.179534706584232,0.2097331821604331,57.2413,0.7,1
27,1144826,762,Business,25,240108,Education,1,24,38935,1,Bachelor,Owned,3,95402.16666666667,0.4081144208814265,0.2097331821604331,30.910302,0.9259259259259259,1
30,1144826,762,Business,35,240108,Personal,1,8,3353,1,PhD,Rented,1,95402.16666666667,0.035145952310656814,0.2097331821604331,34.34478,1.1666666666666667,1
61,1144826,762,Salaried,17,240108,Personal,0,7,46115,2,Master,Mortgaged,1,95402.16666666667,0.48337476612166386,0.2097331821604331,69.834386,0.2786885245901639,1
52,1144826,762,Salaried,30,240108,Business,0,20,37738,2,Master,Owned,1,95402.16666666667,0.39556753602730893,0.2097331821604331,59.530952,0.5769230769230769,1
54,1144826,762,Self-Employed,34,240108,Personal,1,23,97081,1,Bachelor,Mortgaged,3,95402.16666666667,1.0,0.2097331821604331,61.820604,0.6296296296296297,1
48,1144826,762,Self-Employed,27,240108,Home,1,24,77299,3,PhD,Rented,2,95402.16666666667,0.8102436527472296,0.2097331821604331,54.951648,0.5625,1
35,1144826,762,Salaried,25,240108,Personal,1,0,96799,2,Bachelor,Owned,2,95402.16666666667,1.0,0.2097331821604331,40.06891,0.7142857142857143,1
